"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0261802","FBgn0261802",0.6057511273439,1,-114.028247217677,-116.291706650094,13,7,2687.0700334429,0,0,0,FALSE
"FBgn0261803","FBgn0261803",0.945120219999526,1,-49.2016017165103,-50.0516085056459,13,7,17.7703144518139,0,0,0,FALSE
"FBgn0261804","FBgn0261804",0.862821473327686,1,-70.8905772875823,-72.1656167510211,13,7,100.966402874926,0,0,0,FALSE
"FBgn0261805","FBgn0261805",0.427824612505028,1,-64.2277765781561,-67.2071612340985,13,7,48.7102785857639,0,0,0,FALSE
"FBgn0261806","FBgn0261806",0.175948905528087,0.694422921113246,-86.1373443307417,-90.6163885402073,13,7,258.430952615667,0,0,0,FALSE
"FBgn0261807","FBgn0261807",0.28143542030727,0.869964721978521,-89.4757232783224,-93.1994752169466,13,7,320.81506553902,0,0,0,FALSE
"FBgn0261808","FBgn0261808",0.970631115675126,1,-119.090596906562,-119.749817400155,13,7,2998.6187653722,0,0,0,FALSE
"FBgn0261811","FBgn0261811",0.0858649456256556,0.514932262782037,-91.7081714413591,-97.2493374991389,13,7,848.22313091933,0,0,0,FALSE
"FBgn0261814","FBgn0261814",0.258466148853904,0.837607378477486,-64.595066911237,-68.4606602911161,13,7,71.7420837604242,0,0,0,FALSE
"FBgn0261816","FBgn0261816",0.0946977680227802,0.531974318066687,-96.9786398796527,-102.37955280039,13,7,554.45264656534,0,0,0,FALSE
"FBgn0261817","FBgn0261817",0.837903142000932,1,-43.5748750106314,-44.9565729954353,13,7,13.2413014856476,0,0,0,FALSE
"FBgn0261822","FBgn0261822",0.207428946366895,0.750819151039073,-137.007937064864,-141.229294890797,13,7,9293.78583731772,0,0,0,FALSE
"FBgn0261823","FBgn0261823",0.0932252115542783,0.528729298256201,-101.55508732473,-106.978534039668,13,7,1394.55652323247,0,0,0,FALSE
"FBgn0261832","FBgn0261832",0.0593302006437864,0.44174100994642,-84.3106759037204,-90.3710135656882,13,7,292.890405835743,0,0,0,FALSE
"FBgn0261834","FBgn0261834",0.0203915868470392,0.291091726737161,-77.7964438628437,-85.2878009454525,13,7,156.296501138648,0,0,0,FALSE
"FBgn0261835","FBgn0261835",0.0429282482969868,0.393397414826486,-115.045781803142,-121.549176787653,13,7,1806.17046197907,0,0,0,FALSE
