"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0034162","FBgn0034162",0.0890706989623419,0.48175241312077,-116.958279267542,-122.447087371213,13,7,4344.64724762072,0,0,0,FALSE
"FBgn0034165","FBgn0034165",0.440122460456036,1,-78.3099526619375,-81.2352965671993,13,7,262.178227371859,0,0,0,FALSE
"FBgn0034166","FBgn0034166",0.936183698501577,1,-42.5024317063491,-43.4082374668942,13,7,11.9012788489707,0,0,0,FALSE
"FBgn0034172","FBgn0034172",0.780106783804696,1,-96.5401172154974,-98.1526803838671,13,7,960.558833137822,0,0,0,FALSE
"FBgn0034173","FBgn0034173",0.00727094473357672,0.0753069815860021,-111.317278922235,-120.124602772209,13,7,1828.45377444573,0,0,0,FALSE
"FBgn0034175","FBgn0034175",0.0866594250058408,0.472911897255179,-103.706030668543,-109.234057061995,13,7,963.287594491594,0,0,0,FALSE
"FBgn0034176","FBgn0034176",0.86272542706899,1,-97.6760536969804,-98.9515159785572,13,7,1961.71989660628,0,0,0,FALSE
"FBgn0034177","FBgn0034177",0.986486101376643,1,-74.5916185637901,-75.0798874664963,13,7,169.314614256723,0,0,0,FALSE
"FBgn0034179","FBgn0034179",0.0130007675509871,0.116251435514989,-87.2056746806647,-95.2777545374318,13,7,976.816612627285,0,0,0,FALSE
"FBgn0034180","FBgn0034180",0.910113139252185,1,-108.064481011573,-109.11532272301,13,7,2617.7593517437,0,0,0,FALSE
"FBgn0034181","FBgn0034181",0.470169602716726,1,-101.927548046699,-104.724546007057,13,7,3970.79262192954,0,0,0,FALSE
"FBgn0034182","FBgn0034182",0.823849855043725,1,-79.3701715215141,-80.8097667471544,13,7,261.502140630974,0,0,0,FALSE
"FBgn0034183","FBgn0034183",0.985385314690748,1,-42.2513433648794,-42.7543242070483,13,7,7.14792524011237,0,0,0,FALSE
"FBgn0034184","FBgn0034184",0.994834850571546,1,-99.4320011324063,-99.7738813134353,13,7,1401.87663425568,0,0,0,FALSE
"FBgn0034186","FBgn0034186",0.0717632468113253,0.413029488326753,-89.8639022535595,-95.6589537525625,13,7,269.440947858809,0,0,0,FALSE
"FBgn0034187","FBgn0034187",0.585510361135919,1,-106.557628541356,-108.897438037424,13,7,402.362065264472,0,0,0,FALSE
"FBgn0034191","FBgn0034191",0.586301710465624,1,-84.9688073983205,-87.3056169775364,13,7,608.605785007069,0,0,0,FALSE
"FBgn0034194","FBgn0034194",0.706925033299277,1,-99.9805087222165,-101.868634413576,13,7,993.751107872599,0,0,0,FALSE
"FBgn0034196","FBgn0034196",0.0627707143462273,0.377238288356918,-89.1896461850898,-95.1717799805536,13,7,735.864628008334,0,0,0,FALSE
"FBgn0034197","FBgn0034197",0.0601096070670754,0.366350513626934,-60.6586428456508,-66.7009029334655,13,7,28.7777459669335,0,0,0,FALSE
"FBgn0034198","FBgn0034198",0.242208295083596,0.906169011409471,-116.35862986479,-120.330808217024,13,7,3142.38592555495,0,0,0,FALSE
"FBgn0034199","FBgn0034199",0.729003837061418,1,-94.4051395852096,-96.2111769561898,13,7,559.204418192178,0,0,0,FALSE
"FBgn0034200","FBgn0034200",0.0561742249435825,0.348293334330883,-123.300393743756,-129.436258902172,13,7,6259.05554426817,0,0,0,FALSE
"FBgn0034201","FBgn0034201",0.512434842841205,1,-46.9227387567016,-49.5466846149039,13,7,13.0031425404023,0,0,0,FALSE
"FBgn0034202","FBgn0034202",0.00342077402887039,0.0438462013446631,-70.2342885000261,-79.9759116539901,13,7,130.734412655018,0,0,0,FALSE
"FBgn0034205","FBgn0034205",2.16310383528201e-05,0.001846947744235,-100.000345766872,-115.680621431852,13,7,1038.05912109399,0,0,0,FALSE
"FBgn0034206","FBgn0034206",0.0454418256384174,0.296377216774457,-70.7360663338539,-77.1622312012261,13,7,119.433998888006,0,0,0,FALSE
"FBgn0034210","FBgn0034210",0.871285718834053,1,-81.8019571233466,-83.0393188510727,13,7,549.768732256251,0,0,0,FALSE
